name,value,comments
cite,Picatrix/Ghāyat al-Ḥakīm c 11th c CE (Krakow MS)
*type,magic
keywords,"Luna, Selene, Diana, Artemis, Sin, Khonsu, Picatrix"
*magic_number,369
order,9
name,Luna
