name,value,comments
cite,Picatrix/Ghāyat al-Ḥakīm c 11th c CE (Krakow MS)
*type,magic
keywords,"Venus, Aphrodite, Morning Star, Evening StarNinsi'anna, Tioumoutiri, Ouaiti, Picatrix"
*magic_number,175
order,7
name,Venus
