MS,7
38,14,32,1,26,44,20
30,6,24,49,18,36,12
22,47,16,41,10,35,4
21,39,8,33,2,27,45
13,31,7,25,43,19,37
5,23,48,17,42,11,29
46,15,40,9,34,3,28
