name,value,comments
cite,"Passion façade, Sagrada Família church, Barcelona, Spain. (façade design 1917, construction 1954-1976)"
*type,magic
keywords,"trivial, 33, Sagrada Família"
*magic_number,33
order,4
name,Sagrada Família
