name,value,comments
cite,Picatrix/Ghāyat al-Ḥakīm c 11th c CE (Krakow MS)
*type,magic
keywords,"Sol, Helios, Apollo, Shamash, Ra, Sun, Picatrix"
*magic_number,111
order,6
name,Sol
