name,value,comments
cite,< block design for perfume manufacture in Brhat Samhita by Varahamihira (c 587 CE).
*type,magic
keywords,"perfume, Varahamihira, Brhat Samhita"
*magic_number,34
order,4
name,"Varahamihira (1, 3)"
