name,value,comments
cite,"Parshvnatha temple, Khajuraho, India. c 10th c CE"
*type,magic
keywords,"Chautisa Yantra, 34 song, Parshavnatha temple"
*magic_number,34
order,4
name,Parshavnatha/Chautisa Yantra
