name,value,comments
cite,Picatrix/Ghāyat al-Ḥakīm c 11th c CE (Krakow MS)
*type,magic
keywords,"Mercury, Hermes, Quicksilver, Picatrix"
*magic_number,260
order,8
name,Mercury
